SIGLA	DISCIPLINA	RECOMENDAÇÃO
MCTB012-13	Equações Diferenciais Parciais	Análise no Rn I; Análise Real II
NHZ3078-15	Equações Diferenciais Parciais Aplicadas	Cálculo Vetorial e Tensorial; Variáveis Complexas e Aplicações
ESTB028-17	Equipamentos Médico-Hospitalares	Bases Biológicas para Engenharia II
ESZB013-17	Ergonomia	Bases Biológicas para Engenharia II
MCZC007-15	Ergonomia Cognitiva	Psicologia Cognitiva
ESZE101-17	Escoamento Multifásico	Mecânica dos Fluidos II; Transferência de Calor II
NHZ1094-19	Escrita e Leitura na Educação em Ciências	Não há
NHBQ004-22	Espectroanalítica molecular e atômica	É recomendado que o aluno tenha sido aprovado nas disciplinas: Química Analítica Clássica I; Química analítica Clássica II
NHT4007-15	Espectroscopia	Estrutura da Matéria; Interações Atômicas e Moleculares; Ligações Químicas
ESTS007-17	Estabilidade e Controle de Aeronaves	Fenômenos Mecânicos; Funções de Uma Variável; Aeronáutica I-A; Desempenho de Aeronaves
ESHR005-13	Estado e Desenvolvimento Econômico no Brasil Contemporâneo	Introdução à Economia
BHO0101-15	Estado e Relações de Poder	Não há
ESTM001-17	Estado Sólido	Física Quântica; Materiais e suas Propriedades
ESTG011-17	Estatística Aplicada a Sistemas de Gestão	Introdução à Probabilidade e à Estatística
NHH2007-13	Estética	Não há
NHH2008-13	Estética: Perspectivas Contemporâneas	Não há
ESZG018-17	Estratégias de Comunicação Organizacional	Modelos de Comunicação nas Organizações
NHZ3007-15	Estrutura Atômica e Molecular	Interações Atômicas e Moleculares; Cálculo Vetorial e Tensorial; Mecânica Quântica I
BIK0102-15	Estrutura da Matéria	Não há
NHBQ005-22	Estrutura da Matéria Avançada	É recomendado que o aluno tenha sido aprovado nas disciplinas: Fenômenos Eletromagnéticos; Funções de uma variável; Funções de Várias Variáveis; Transformações Químicas; Fundamentos de Química.
BIQ0602-15	Estrutura e Dinâmica Social	Não há
NHZ2129-18	Estruturalismo e Pós-Estruturalismo	Não há
BHQ0004-19	Estudos de Gênero	Não há
ESHT007-17	Estudos do Meio Físico	Não há
ESHR030-21	Estudos Estratégicos e Defesa	Não há
BHQ0002-15	Estudos Étnico-Raciais	Não há
NHZ4077-20	Estudos Queer e Educação	Não há
NHH2009-13	Ética	Não há
NHH2010-18	Ética Contemporânea	Não há
NHZ2137-18	Ética e Conhecimento	Não há
BHP0001-15	Ética e Justiça	Não há
NHZ1024-15	Etnofarmacologia	Bioquímica: estrutura, propriedade e funções de biomoléculas
LHZ0012-19	Europa Medieval: Cultura, Política e Sociedade	Não há
LHZ0013-19	Europa Moderna e Contemporânea: Cultura e Processos Políticos	Não há
NHT1062-15	Evolução	Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia; Genética I; Genética II; Introdução à Probabilidade e à Estatística
NHZ3008-22	Evolução da Física I	Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos
NHZ3092-22	Evolução da Física II	Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos
MCZB035-17	Evolução dos Conceitos Matemáticos	Bases Matemáticas
NHBB010-23	Evolução e Diversidade de Plantas I	Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia
NHT1068-15	Evolução e Diversidade de Plantas II	Evolução e Diversificação da Vida na Terra; Sistemática e Biogeografia; Evolução e Diversidade de Plantas I
BIL0304-15	Evolução e Diversificação da Vida na Terra	Não há
NHZ1026-15	Evolução Molecular	Evolução e Diversificação da Vida na Terra; Genética I; Genética II; Evolução
NHLQ001-22	Experimentação e Ensino de Química	Práticas de Ensino de Química II
NHZ1027-15	Farmacologia	Bioquímica: estrutura, propriedade e funções de biomoléculas
ESHP007-13	Federalismo e Políticas Públicas	Não há
NHH2012-13	Fenomenologia e Filosofia Hermenêutica	História da Filosofia Moderna: perspectivas racionalistas
ESTO016-17	Fenômenos de Transporte	Fenômenos Térmicos
BCJ0203-15	Fenômenos Eletromagnéticos	Bases Matemáticas; Fenômenos Mecânicos ; Funções de Uma Variável ; Funções de Várias Variáveis; Geometria Analítica; Introdução às Equações Diferenciais Ordinárias
BCJ0204-15	Fenômenos Mecânicos	Geometria Analitica; Funções de Uma Variável; Bases Matemáticas
BCJ0205-15	Fenômenos Térmicos	Estrutura da Matéria; Fenômenos Mecânicos; Funções de uma Variável
MCBM034-23	Fibrados e Conexões	Análise no Rn II
NHZ2094-16	Filosofia africana	Não há
NHZ2013-11	Filosofia Brasileira: História e Problemas	Filosofia no Brasil e na América Latina
NHH2085-16	Filosofia da Arte	Não há
NHZ2106-18	Filosofia da Ciência	Não há
NHH2017-16	Filosofia da Educação	Não há
NHZ2018-11	Filosofia da Educação: perspectivas contemporâneas	Não há
NHZ2095-16	Filosofia da Escola: Modelos Institucionais e Questões Filosóficas	Não há
NHZ2139-18	Filosofia da História	Não há
NHH2019-13	Filosofia da Linguagem	Não há
MCZB036-17	Filosofia da Matemática	Álgebra Linear; Evolução dos Conceitos Matemáticos ou História da Matemática]; Matemática Discreta
NHZ2021-11	Filosofia da Mente	Não há
NHZ2022-11	Filosofia da Natureza, Mecanicismo e Cosmologia	História da Filosofia Moderna: perspectivas racionalistas
NHZ4079-20	Filosofia da Química	Estrutura da Matéria; Transformações Químicas
NHZ2121-18	Filosofia da Tecnologia	Não há
NHH2023-16	Filosofia do Ensino de Filosofia	Não se aplica
BHS0005-23	Filosofia e sociedade civil em movimento(s)	Não há
NHZ2133-18	Filosofia e Teatro	Não há
NHZ2024-11	Filosofia Experimental e Mecanicismo	História da Filosofia Moderna: perspectivas racionalistas
NHH2026-13	Filosofia no Brasil e na América Latina	Não há
NHZ2027-16	Filosofia no Ensino Fundamental	Não há
NHH2028-13	Filosofia Política	Não há
NHH2029-18	Filosofia Política Contemporânea	Não há
NHZ2096-16	Filosofia, Ensino e Universidade	Não há
NHZ2131-18	Filosofia, Fotografia e Arte na Era das Redes	Não há
NHZ2132-18	Filosofia, Música e Literatura	Não há
ESZI002-17	Filtragem Adaptativa	Sinais Aleatórios; Processamento Digital de Sinais
ESHC016-17	Finanças Corporativas	Bases Matemáticas; Introdução à Probabilidade e Estatística; Contabilidade Básica; Engenharia Econômica
ESZC031-17	Finanças I	Bases Matemáticas; Introdução à Probabilidade e Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de uma Variável; Funções de Várias Variáveis; Finanças Corporativas
ESZC032-17	Finanças II	Bases Matemáticas; Introdução à Probabilidade e Estatística; Contabilidade Básica; Introdução à Inferência Estatística; Engenharia Econômica; Funções de uma Variável; Funções de Várias Variáveis; Finanças Corporativas; Finanças I
ESHC017-17	Finanças Públicas	Introdução à Economia; Macroeconomia I; Macroeconomia Pós-Keynesiana
ESZG025-17	Finanças, Gestão e Administração Financeira	Economia de Empresas
NHZ3010-15	Física Computacional	Interações Atômicas e Moleculares; Cálculo Numérico; Variáveis Complexas e Aplicações; Análise de Fourier e Aplicações
ESZE098-17	Física de Reatores Nucleares	Reações Nucleares
NHZ3011-15	Física de Semicondutores	Fenômenos Eletromagnéticos; Física Quântica; Interações Atômicas e Moleculares; Funções de Várias Variáveis
NHT3012-15	Física do Contínuo	Fenômenos Mecânicos; Funções de uma Variável
NHZ3084-15	Física do Meio Ambiente	Fenômenos Mecânicos; Fenômenos Térmicos; Funções de uma Variável
NHBP001-23	Física Experimental I	Fenômenos Mecânicos; Fenômenos Térmicos; Funções de Várias Variáveis
NHBP002-23	Física Experimental II	Física Experimental I; Fenômenos Eletromagnéticos
NHBP003-23	Física Experimental III	Física Experimental II; Física Quântica; Óptica e Relatividade
NHBP004-23	Física Experimental IV	Eletromagnetismo I; Óptica e Relatividade; Mecânica Quântica I; Variáveis Complexas e Aplicações; Análise de Fourier e Aplicações; Física Experimental III
ESTB023-17	Física Médica I	Fenômenos Eletromagnéticos
ESTB030-17	Física Médica II	Física Médica I
NHT3064-15	Física Ondulatória	Fenômenos Mecânicos; Funções de Várias Variáveis
BCK0103-15	Física Quântica	Estrutura da Matéria; Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos
NHT3013-13	Física Térmica	Fenômenos Térmicos; Geometria Analítica; Funções de uma Variável; Funções de Várias Variáveis; Introdução às Equações Diferenciais e Ordinárias
NHBQ006-22	Físico-química Experimental	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Funções de uma variável; Princípios de Termodinâmica; Termodinâmica Química
NHT1069-15	Fisiologia Vegetal I	Evolução e Diversidade de Plantas II
NHT1070-15	Fisiologia Vegetal II	Evolução e Diversidade de Plantas II; Genética II; Fisiologia Vegetal I
BHO1335-15	Formação do Sistema Internacional	Não há
ESHC018-17	Formação Econômica do Brasil	Interpretações do Brasil
ESHR006-13	Formação Histórica da América Latina	Formação do Sistema Internacional; Interpretações do Brasil
ESTA006-17	Fotônica	Eletromagnetismo Aplicado
BCN0402-15	Funções de Uma Variável	Bases Matemáticas
BCN0407-15	Funções de Várias Variáveis	Geometria Analitica; Funções de Uma Variável
MCZB037-17	Funções Especiais e Teoria de Representações de Grupos	Álgebra Linear; Introdução às Equações Diferenciais Ordinárias
NHZ6001-18	Fundamentos da Biotecnologia	Não há
ESZI044-17	Fundamentos da Computação Semântica	Processamento de Informação em Línguas Naturais
NHZ3020-15	Fundamentos da Relatividade Geral	Teoria da Relatividade
MCTD021-18	Fundamentos de Álgebra	Teoria Aritmética dos Números
MCTD023-18	Fundamentos de Análise	Funções de Uma Variável
ESTE015-17	Fundamentos de Conversão de Energia Elétrica	Fenômenos Eletromagnéticos; Cálculo Vetorial e Tensorial
ESTO011-17	Fundamentos de Desenho Técnico	Não há
ESTI017-17	Fundamentos de Eletromagnetismo Aplicado	Fenômenos Eletromagnéticos; Circuitos Elétricos I
ESTB022-17	Fundamentos de Eletrônica Analógica e Digital	Circuitos Elétricos I
ESTI016-17	Fundamentos de Fotônica	Fenômenos Eletromagnéticos
ESTU027-17	Fundamentos de Geologia para Engenharia	Não há
NHT1055-15	Fundamentos de Imunologia	Biologia Celular
ESTE025-17	Fundamentos de Máquinas Térmicas	Sistemas Térmicos; Termodinâmica Aplicada II
ESZI017-17	Fundamentos de Processamento Gráfico	Programação Estruturada; Eletrônica Digital
NHBQ007-22	Fundamentos de Química	É recomendado que o aluno tenha sido aprovado nas disciplinas: Estrutura da Matéria; Transformações químicas
NHBQ008-22	Fundamentos de Reações Orgânicas	É recomendado que o aluno tenha sido aprovado nas disciplinas: Estrutura da Matéria; Transformações Químicas.
ESTA013-17	Fundamentos de Robótica	Sistemas de Controle I
ESTE018-17	Fundamentos de Sistemas Dinâmicos	Circuitos Elétricos I; Cálculo Vetorial e Tensorial
LHZ0014-19	Fundamentos do Ensino de Geografia	Não há
MCZD003-18	Fundamentos Psicoantropológicos da Educação	Não há
NHZ2138-18	Gênero, Raça, Classe e Sexualidade	Não há
NHT1061-15	Genética I	Biologia Celular
NHT1057-15	Genética II	Biologia Celular; Genética I
NHZ6010-18	Genômica e Pós-Genômica	Biologia Celular; Biologia Molecular e Biotecnologia
LHZ0015-19	Geografia Agrária	Não há
LHZ0016-19	Geografia das Indústrias e Movimentos Operários no ABC	Não há
LHZ0017-19	Geografia Urbana	Não há
NHT1030-15	Geologia e Paleontologia	Evolução e Diversificação da Vida na Terra
BCN0404-15	Geometria Analítica	Bases Matemáticas
MCBM004-23	Geometria Diferencial	Álgebra Linear Avançada; Análise no Rn I
MCBM005-23	Geometria dos Espaços Métricos	Análise Real I
MCZB009-13	Geometria Não Euclidiana	Funções de Várias Variáveis
MCTD009-18	Geometria Plana Axiomática	Não há
ESZU035-17	Geomorfologia	Fundamentos de Geologia para Engenharia; Cartografia e Geoprocessamento; Geotecnia
ESHR007-21	Geopolítica	Não há
ESZR004-21	Geopolítica do Petróleo e o Desenvolvimento brasileiro	Economia política internacional da energia
ESTU006-17	Geotecnia	Fundamentos de Geologia para Engenharia; Cartografia e Geoprocessamento
ESZU028-17	Geotecnia Aplicada ao Planejamento Urbano-Ambiental	Fundamentos de Geologia para Engenharia; Cartografia e Geoprocessamento; Geotecnia
ESZE084-17	Geração de Vapor	Termodinâmica Aplicada I; Termodinâmica Aplicada II; Transferência de Calor I; Transferência de Calor II
ESZE052-17	Geração Distribuída	Engenharia Solar Fotovoltaica; Engenharia Eólica; Engenharia de Recursos Hídricos; Fundamentos de Máquinas Térmicas
ESTG008-17	Gerência de Ativos	Planejamento e Controle da Produção
ESZI030-17	Gerenciamento e Interoperabilidade de Redes	Redes de Computadores
ESZU010-17	Gestão Ambiental Na Indústria	Não há
ESZG041-17	Gestão da Inovação	Inovação Tecnológica
ESZG009-17	Gestão da Qualidade, Segurança, Saúde e Ambiental Aplicada em Projetos	Planejamento e Controle de Projetos
ESZG024-17	Gestão de Custos Avançada	Custos
ESTG009-17	Gestão de Operações	Planejamento e Controle da Produção
ESZP022-13	Gestão de Projetos Culturais	Não há
MCZA016-17	Gestão de Projetos de Software	Processamento da Informação; Engenharia de Software
ESZB029-17	Gestão de Tecnologia Hospitalar I	Equipamentos Médico-Hospitalares
ESZB030-17	Gestão de Tecnologia Hospitalar II	Gestão de Tecnologia Hospitalar I
NHZ4078-20	Gestão Educacional: Políticas, Processos e Cotidiano Escolar	Políticas educacionais; Didática; Estrutura e Dinâmica Social
ESZG019-17	Gestão Estratégica e Organizacional	Não há
ESZU011-17	Gestão Urbano-Ambiental	Regulação Ambiental e Urbanística; Cartografia e Geoprocessamento; Teoria do Planejamento Urbano e Ambiental
ESHT008-17	Governança Pública, Democracia e Políticas No Território	Não há
ESZP052-22	Governança, Políticas Públicas e Resistência em Tempos de Crises Múltiplas	Não há
MCZB010-13	Grupo Fundamental e Espaço de Recobrimento	Teoria de Grupos;  Topologia
ESTU007-17	Habitação e Assentamentos Humanos	Cartografia e Geoprocessamento; Regulação Ambiental e Urbanística
ESTU028-17	Hidráulica de Condutos Forçados	Fenômenos de Transporte; Cálculo Numérico
ESTU029-17	Hidráulica de Condutos Livres	Fenômenos de Transporte; Cálculo Numérico
ESZE048-17	Hidrogênio e Células a Combustível	Bases Conceituais da Energia
ESTU009-17	Hidrologia	Introdução à Probabilidade e à Estatística
NHT1054-15	Histologia e Embriologia	Biologia Celular
LHZ0018-19	História Cultural	Não há
NHZ2031-11	História da Astronomia	Não há
ESZU029-17	História da Cidade e do Urbanismo	Não há
ESHT009-17	História da Cidade e do Urbanismo	Não há
NHZ5016-15	História da Educação	Não há
NHH2033-18	História da Filosofia Antiga Clássica	Não há
NHH2032-18	História da Filosofia Antiga Helenística	Não há
NHH2034-13	História da Filosofia Contemporânea: o Século XIX	Não há
NHH2035-13	História da Filosofia Contemporânea: o Século XX	Não há
NHZ2036-11	História da Filosofia da Antiguidade Tardia	Não há
NHH2086-16	História da Filosofia Medieval: do Século IV ao X	Não há
NHH2087-16	História da Filosofia Medieval: do Século XI ao XIV	Não há
NHZ2148-18	História da Filosofia Moderna: A Filosofia Crítica	História da filosofia moderna: perspectivas racionalistas
NHH2040-13	História da Filosofia Moderna: o Iluminismo e seus Desdobramentos	História da Filosofia Moderna: perspectivas racionalistas
NHH2041-13	História da Filosofia Moderna: Perspectivas Racionalistas	Não há
NHZ2142-18	História da Filosofia no Renascimento	Não há
NHZ3094-22	História da Física no Brasil	Evolução da Física I; Evolução da Física II
MCTD010-18	História da Matemática	Não há
ESHR024-14	História da Política Externa Brasileira	Formação do Sistema Internacional
NHZ4080-20	História da Química	Transformações Químicas; Estrutura da Matéria
NHZ2044-11	História das Ciências no Brasil	Não há
NHZ1031-15	História das Ideias Biológicas	Biodiversidade: Interações entre organismos e ambiente; Evolução
ESHP023-22	História das Instituições Políticas Brasileiras	Não há
ESHC019-17	História do Pensamento Econômico	Introdução à Economia; Pensamento Econômico; Economia Política; Microeconomia I; Macroeconomia I; Economia Institucional I; Macroeconomia Pós-Keynesiana
LHZ0019-19	História do Pensamento Geográfico	Não há
ESHR026-14	História do Terceiro Mundo	Formação do Sistema Internacional
LHZ0020-19	História dos Povos Indígenas Brasileiros	Não há
NHZ1093-19	História e Ambiente	Não há
NHZ2117-18	História e Filosofia da Biologia	Filosofia da ciência; Origem da vida e diversidade dos seres vivos
NHZ2045-11	História e Filosofia da Ciência	Não há
NHZ2118-18	História e Filosofia da Economia e das Ciências Sociais	Filosofia da ciência
NHZ2120-18	História e Filosofia da Física	Não há
NHZ2119-18	História e Filosofia da Psicologia e das Ciências Cognitivas	Não há
NHZ5017-15	História e Filosofia das Ciências e o Ensino de Ciências	Não há
LHZ0038-22	História e Gênero	Não há
ESHC020-17	História Econômica Geral	Formação do Sistema Internacional; Pensamento Econômico
LHE0001-19	História, Eurocentrismo e Pós-Colonialismo	Não há
LHZ0021-19	História, Patrimônio e Memória	Não há
NHZ2039-18	Idealismo Alemão	História da filosofia Moderna: o iluminismo e seus desdobramentos
BHQ0001-15	Identidade e Cultura	Não há
ESZE103-17	Iluminação Rural Fotovoltaica	Engenharia Solar Fotovoltaica
ESZE063-17	Impacto Ambiental e Social Na Cadeia de Produção de Petróleo	Engenharia de Petróleo e Gás; Refino do Petróleo
ESZE109-17	Impactos Econômicos e Socioambientais da Geração Fotovoltaica	Engenharia Solar Fotovoltaica
MCCC016-23	Implementação de Bancos de Dados	Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação; Matemática Discreta I; Modelagem de  Banco de Dados.
NHZ1090-15	Imunologia Aplicada	Bioquímica: estrutura, propriedade e funções de biomoléculas; Biologia Celular
ESZP042-14	Indicadores de Políticas Públicas	Não há
MCZB012-13	Inferência Estatística	Cálculo de Probabilidade; Introdução à Inferência Estatística
ESZI027-17	Informação e Sociedade	Não há
ESZT005-17	Informática Aplicada ao Planejamento Territorial	Cartografia e Geoprocessamento para o Planejamento Territorial
ESZI013-17	Informática Industrial	Eletrônica Digital
ESZP023-13	Inovação e Desenvolvimento Agroindustrial	Não há
ESZG037-17	Inovação Estratégica	Inovação Tecnológica
ESZP043-14	Inovação nos Serviços Públicos	Não há
ESTG010-17	Inovação Tecnológica	Propriedade Intelectual
ESTE019-17	Instalações Elétricas I	Circuitos Elétricos I
ESTE020-17	Instalações Elétricas II	Instalações Elétricas I
ESZB031-17	Instalações Hospitalares	Equipamentos Médico-Hospitalares; Biossegurança
ESZP002-13	Instituições Judiciais e Políticas Públicas	Direito Constitucional
ESZC006-21	Instituições, Mercado e Poder	Pensamento Econômico; Microeconomia I; Economia Institucional
ESTB025-17	Instrumentação Biomédica I	Fundamentos de Eletrônica Analógica e Digital; Sensores Biomédicos
ESZB025-17	Instrumentação Biomédica II	Instrumentação Biomédica I
ESTO004-17	Instrumentação e Controle	Introdução às Equações Diferenciais Ordinárias; Circuitos Elétricos e Fotônica
ESZA013-17	Instrumentação e Metrologia Óptica	Eletromagnetismo Aplicado
ESZS003-17	Instrumentação e Sensores em Veículos Aeroespaciais	Aeronáutica I-A; Introdução à Astronáutica
ESZI042-17	Instrumentação em RF e Micro-Ondas	Métodos Experimentais em Engenharia; Transformadas em sinais e sistemas lineares; Sistemas de micro-ondas
NHT1086-16	Instrumentação para o Ensino de Ciências e Biologia	Não há
ESZE025-17	Integração e Otimização Energética de Processos	Sistemas Térmicos
ESHR008-21	Integração Regional - Teorias e Experiências	Não há
MCCC008-23	Inteligência Artificial	Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
ESZA022-17	Inteligência Artificial em Robótica	Fundamentos de Robótica
ESZS032-17	Interação Fluido-Estrutura	Mecânica dos Fluidos; Dinâmica de Gases; Dinâmica II; Aeroelasticidade
MCZA008-17	Interação Humano-Computador	Processamento da Informação
BCK0104-15	Interações Atômicas e Moleculares	Transformações Químicas; Física Quântica
NHZ3021-15	Interações da Radiação com a Matéria	Fenômenos Eletromagnéticos; Física Quântica
BHQ0003-15	Interpretações do Brasil	Não há
MCZB013-13	Introdução à Análise Estocástica em Finanças	Introdução aos Processos Estocásticos; Processamento da Informação
MCZB014-17	Introdução à Análise Funcional	Álgebra Linear Avançada; Topologia
